Date,Weekly Average
86400000,4170.79
691200000,4058.2625000000003
1296000000,4470.705
1900800000,4256.74
2505600000,3766.2999999999997
3110400000,3744.6925
3715200000,4024.6775000000002
4320000000,4452
4924800000,5205.5725
5529600000,5717.2425
6134400000,5905.46
6739200000,6774.567500000001
7344000000,6562.79
7948800000,6925.27
8553600000,8584.032500000001
9158400000,10159.6025
9763200000,13518.095000000001
10368000000,17067.88
10972800000,15655.26
11577600000,13866.1025
12182400000,14947.98
12787200000,14354.035
13392000000,12073.2425
13996800000,11388.5475
14601600000,9992.445
15206400000,7827.415
15811200000,9443.5625
16416000000,10256.455
17020800000,10505
17625600000,10271.8925
18230400000,8733.609999999999
18835200000,8481.140000000001
19440000000,7557.01
20044800000,6962.7525000000005
20649600000,7601.645
21254400000,8500.622500000001
21859200000,9154.035
22464000000,9474.135
23068800000,9045.85
23673600000,8499.645
24278400000,7923.094999999999
24883200000,7468.2225
25488000000,7216.764999999999
26092800000,6563.8225
26697600000,6293.1925
27302400000,6200.9375
27907200000,6540.674999999999
28512000000,6484.2925
29116800000,6944.835
29721600000,7868.1375
30326400000,7597.617499999999
30931200000,6615.879999999999
31536000000,6321.5225
32140800000,6570.0175
32745600000,6998.49
33350400000,6768.4525
33955200000,6377.9825
34560000000,6542.5275
35164800000,6618.3
35769600000,6592.2075
36374400000,6468.8
36979200000,6727.3625
37584000000,6543.0125
38188800000,6436.450000000001
38793600000,6476.4525
39398400000,6003.532499999999
40003200000,4766.094999999999
40608000000,4097.299999999999
41212800000,3776.7299999999996
41817600000,3385.855
42422400000,3628.7299999999996
43027200000,3866.1549999999997
43632000000,3862.19
44236800000,3743.8825
44841600000,3550.965
45446400000,3546.9725000000003
46051200000,3478.9575000000004
46656000000,3561.2125
47260800000,3653.8875000000003
47865600000,3816.0449999999996
48470400000,3779.12
49075200000,3841.645
49680000000,3941.1349999999998
50284800000,3980.84
50889600000,4031.0025000000005
51494400000,4653.68
52099200000,5146.1975
52704000000,5167.71
53308800000,5316.7325
53913600000,5541.0575
54518400000,6470.3525
55123200000,7588.179999999999
55728000000,8240.842499999999
56332800000,8604.445
56937600000,8149.915
57542400000,8356.225
58147200000,10050.4275
58752000000,11563.7875
59356800000,10996.835
59961600000,11208.565
60566400000,10230.907500000001
61171200000,9994.9625
61776000000,10226.442500000001
62380800000,11434.615000000002
62985600000,10793.4375
63590400000,10290.205
64195200000,9947.9175
64800000000,10180.785
65404800000,10260.8125
66009600000,10085.0525
66614400000,8967.965
67219200000,8026.8225
67824000000,8167.955
68428800000,8179.4
69033600000,8855.82
69638400000,9384.51
70243200000,9111.4025
70848000000,8741.39
71452800000,7674.9175
72057600000,7164.03
72662400000,7429.6525
73267200000,7321.7625
73872000000,7143.6449999999995
74476800000,7415.1875
75081600000,7278.305
75686400000,7836.095
76291200000,8535.385
76896000000,8593.18
77500800000,9014.725
78105600000,9685.5875
78710400000,10051.7775
79315200000,9861.775
79920000000,9217.32
80524800000,8437.9025
81129600000,6339.375
81734400000,5629.66
82339200000,6085.8575
82944000000,6427.26
83548800000,6969.0599999999995
84153600000,6946.469999999999
84758400000,7325.875
85363200000,8413.314999999999
85968000000,8950.23
86572800000,9135.4525
87177600000,9262.8625
87782400000,9137.282500000001
88387200000,9710.315
88992000000,9548.7025
89596800000,9284.06
90201600000,9256.01
90806400000,9092.650000000001
91411200000,9224.52
92016000000,9225.842499999999
92620800000,9595.6325
93225600000,10760.89
93830400000,11399.745
94435200000,11696.26
95040000000,11850.982499999998
95644800000,11575.455000000002
96249600000,10960.805
96854400000,10254.7075
97459200000,10661.3125
98064000000,10705.0525
98668800000,10691.2225
99273600000,11012.91
99878400000,11441.0425
100483200000,12322.4825
101088000000,13414.035
101692800000,14597.909999999998
102297600000,15679.41
102902400000,17300.3325
103507200000,18067.77
104112000000,18858.379999999997
104716800000,18881.725000000002
105321600000,21481.377500000002
105926400000,24993.550000000003
106531200000,29984.925
107136000000,35307.5175
107740800000,36124.6575
108345600000,33696.222499999996
108950400000,33281.512500000004
109555200000,36285.082500000004
110160000000,43767.45
110764800000,52478.1575
111369600000,50764.12
111974400000,48424.0975
112579200000,55261.5225
113184000000,57558.1025
113788800000,55496.87
114393600000,57244.9175
114998400000,58794.36
115603200000,57983.527500000004
116208000000,52418.3975
116812800000,53214.12
117417600000,56804.7625
118022400000,51999.43
118627200000,39442.020000000004
119232000000,36135.6775
119836800000,36266.8525
120441600000,36299.22
121046400000,37321.68
121651200000,33713.8775
122256000000,34822
122860800000,34229.475
123465600000,32933.9975
124070400000,32958.8975
124675200000,38257.81
125280000000,41571.835
125884800000,45422.795
126489600000,47474.445
127094400000,48689.2625
127699200000,49734.18
128304000000,48386.292499999996
128908800000,46370.045
129513600000,44337.475
130118400000,45335.717500000006
130723200000,51577.83
131328000000,58249.83500000001
131932800000,62222.7925
132537600000,60920.662500000006
133142400000,62062.1
133747200000,65017.670000000006
134352000000,61535.737499999996
134956800000,57148.305
135561600000,51962.1275
136166400000,49534.3875
136771200000,48095.275
137376000000,48706.395
137980800000,48956.915
138585600000,44305.45
139190400000,42271.57
139795200000,39207.302500000005
140400000000,36490.865
141004800000,39792.155
141609600000,42975.345
142214400000,40797.985
142819200000,37689.1725
143424000000,39742.515
144028800000,38986.8
144633600000,39748.615000000005
145238400000,43889.2025
145843200000,46406.2375
146448000000,44408.5525
147052800000,40862.92
147657600000,40160.1875
148262400000,39025.54
148867200000,36561.1175
149472000000,31577.607500000002
150076800000,30401.550000000003
150681600000,29613.025
151286400000,30267.167499999996
151891200000,28704.8425
152496000000,22916.5925
153100800000,20784.275
153705600000,20129.940000000002
154310400000,20440.245
154915200000,20563.6875
155520000000,22104.612500000003
156124800000,22811.237500000003
156729600000,23129.607500000002
157334400000,23797.97
157939200000,22948.52
158544000000,20623.0775
159148800000,19918.04
159753600000,20549.485
160358400000,20840.515
160963200000,19076.7025
161568000000,19180.7675
162172800000,19482.86
162777600000,19211.2025
163382400000,19297.510000000002
163987200000,20109.97
164592000000,20761.237500000003
165196800000,18473.300000000003
165801600000,16404.305
166406400000,16249.2275
167011200000,16713.435
167616000000,17073.695
168220800000,17184.6325
168825600000,16722.170000000002
169430400000,16688.6725
170035200000,16867.6725
170640000000,19090.4975
171244800000,21839.955
171849600000,23177.215
172454400000,23357.82
173059200000,22404.862500000003
173664000000,23163.8
174268800000,23949.839999999997
174873600000,22989.055
175478400000,21644.6575
176083200000,25043.725
176688000000,27852.6925
177292800000,27958.184999999998
177897600000,28117.7175
178502400000,29449.6025
179107200000,28876.315000000002
179712000000,28450.655
180316800000,28787.5625
180921600000,27447.545
181526400000,26922.545
182131200000,27236.497499999998
182736000000,27533.089999999997
183340800000,26445.885000000002
183945600000,25976.375
184550400000,28622.7975
185155200000,30465.425
185760000000,30494.6875
186364800000,30524.225000000002
186969600000,30061.302499999998
187574400000,29581.58
188179200000,29250.677499999998
188784000000,29334.324999999997
189388800000,27588.79
189993600000,26102.760000000002
190598400000,26387.3975
191203200000,25907.7075
191808000000,26039.5275
192412800000,26595.3825
193017600000,27074.2325
193622400000,27912.5325
194227200000,27399.450000000004
194832000000,28659.8125
195436800000,32420.4875
196041600000,34886.9375
196646400000,36142.83
197251200000,36800.9975
197856000000,37213.3225
198460800000,38594.17
199065600000,42108.50750000001
199670400000,42297.6625
200275200000,42326.8325
200880000000,42594.350000000006
201484800000,43210.557499999995
202089600000,44032.71
202694400000,41792.6725
203299200000,41252.265
203904000000,42575.2925
204508800000,45433.4075
205113600000,50241.075
205718400000,51843.1325
206323200000,57436.065
206928000000,65266.2125
207532800000,68914.84
208137600000,66333.615
208742400000,69161.1525
209347200000,69105.4225
209952000000,67120.195
210556800000,64267.520000000004
211161600000,64420.84
211766400000,62104.36
212371200000,62795.7775
212976000000,64051.80499999999
213580800000,68205.245
214185600000,68407.715
214790400000,69255.815
215395200000,67899.73999999999
216000000000,65091
216604800000,61938.455
217209600000,58994.3775
217814400000,58084.1425
218419200000,64490.5525
219024000000,67317.98000000001
219628800000,63403.409999999996
220233600000,57154.6825
220838400000,58754.62
221443200000,61358.662500000006
222048000000,60800.962499999994
222652800000,56132.8425
223257600000,57304.7275
223862400000,61084.345
224467200000,63835.375
