Date,Weekly Average
2021-09-05,48386.292499999996
2021-09-12,46370.045
2021-09-19,44337.475
2021-09-26,45335.717500000006
2021-10-03,51577.83
2021-10-10,58249.83500000001
2021-10-17,62222.7925
2021-10-24,60920.662500000006
2021-10-31,62062.1
2021-11-07,65017.670000000006
2021-11-14,61535.737499999996
2021-11-21,57148.305
2021-11-28,51962.1275
2021-12-05,49534.3875
2021-12-12,48095.275
2021-12-19,48706.395
2021-12-26,48956.915
2022-01-02,44305.45
2022-01-09,42271.57
2022-01-16,39207.302500000005
2022-01-23,36490.865
2022-01-30,39792.155
2022-02-06,42975.345
2022-02-13,40797.985
2022-02-20,37689.1725
2022-02-27,39742.515
2022-03-06,38986.8
2022-03-13,39748.615000000005
2022-03-20,43889.2025
2022-03-27,46406.2375
2022-04-03,44408.5525
2022-04-10,40862.92
2022-04-17,40160.1875
2022-04-24,39025.54
2022-05-01,36561.1175
2022-05-08,31577.607500000002
2022-05-15,30401.550000000003
2022-05-22,29613.025
2022-05-29,30267.167499999996
2022-06-05,28704.8425
2022-06-12,22916.5925
2022-06-19,20784.275
2022-06-26,20129.940000000002
2022-07-03,20440.245
2022-07-10,20563.6875
2022-07-17,22104.612500000003
2022-07-24,22811.237500000003
2022-07-31,23129.607500000002
2022-08-07,23797.97
2022-08-14,22948.52
2022-08-21,20623.0775
2022-08-28,19918.04
2022-09-04,20549.485
2022-09-11,20840.515
2022-09-18,19076.7025
2022-09-25,19180.7675
2022-10-02,19482.86
2022-10-09,19211.2025
2022-10-16,19297.510000000002
2022-10-23,20109.97
2022-10-30,20761.237500000003
2022-11-06,18473.300000000003
2022-11-13,16404.305
2022-11-20,16249.2275
2022-11-27,16713.435
2022-12-04,17073.695
2022-12-11,17184.6325
2022-12-18,16722.170000000002
2022-12-25,16688.6725
2023-01-01,16867.6725
2023-01-08,19090.4975
2023-01-15,21839.955
2023-01-22,23177.215
2023-01-29,23357.82
2023-02-05,22404.862500000003
2023-02-12,23163.8
2023-02-19,23949.839999999997
2023-02-26,22989.055
2023-03-05,21644.6575
2023-03-12,25043.725
2023-03-19,27852.6925
2023-03-26,27958.184999999998
2023-04-02,28117.7175
2023-04-09,29449.6025
2023-04-16,28876.315000000002
2023-04-23,28450.655
2023-04-30,28787.5625
2023-05-07,27447.545
2023-05-14,26922.545
2023-05-21,27236.497499999998
2023-05-28,27533.089999999997
2023-06-04,26445.885000000002
2023-06-11,25976.375
2023-06-18,28622.7975
2023-06-25,30465.425
2023-07-02,30494.6875
2023-07-09,30524.225000000002
2023-07-16,30061.302499999998
2023-07-23,29581.58
2023-07-30,29250.677499999998
2023-08-06,29334.324999999997
2023-08-13,27588.79
2023-08-20,26102.760000000002
2023-08-27,26387.3975
2023-09-03,25907.7075
2023-09-10,26039.5275
2023-09-17,26595.3825
2023-09-24,27074.2325
2023-10-01,27912.5325
2023-10-08,27399.450000000004
2023-10-15,28659.8125
2023-10-22,32420.4875
2023-10-29,34886.9375
2023-11-05,36142.83
2023-11-12,36800.9975
2023-11-19,37213.3225
2023-11-26,38594.17
2023-12-03,42108.50750000001
2023-12-10,42297.6625
2023-12-17,42326.8325
2023-12-24,42594.350000000006
2023-12-31,43210.557499999995
2024-01-07,44032.71
2024-01-14,41792.6725
2024-01-21,41252.265
2024-01-28,42575.2925
2024-02-04,45433.4075
2024-02-11,50241.075
2024-02-18,51843.1325
2024-02-25,57436.065
2024-03-03,65266.2125
2024-03-10,68914.84
2024-03-17,66333.615
2024-03-24,69161.1525
2024-03-31,69105.4225
2024-04-07,67120.195
2024-04-14,64267.520000000004
2024-04-21,64420.84
2024-04-28,62104.36
2024-05-05,62795.7775
