Date,Weekly Average
2022-07-30,23590.0225
2022-07-31,23231.0125
2022-08-01,23092.237500000003
2022-08-02,23033.3
2022-08-03,22765.802499999998
2022-08-04,22998.66
2022-08-05,23132.9125
2022-08-06,23093.805
2022-08-07,23595.91
2022-08-08,23439.795
2022-08-09,23499.015
2022-08-10,24164.7775
2022-08-11,24094.067499999997
2022-08-12,24505.575
2022-08-13,24484.965
2022-08-14,24346.152500000004
2022-08-15,23966.6225
2022-08-16,23706.480000000003
2022-08-17,23311.225000000002
2022-08-18,22004.52
2022-08-19,21029.802499999998
2022-08-20,21381.197500000002
2022-08-21,21338.855000000003
2022-08-22,21376.219999999998
2022-08-23,21485.5475
2022-08-24,21514.28
2022-08-25,20948.69
2022-08-26,20119.9175
2022-08-27,19821.0975
2022-08-28,19956.4375
2022-08-29,20053.7775
2022-08-30,20037.7475
2022-08-31,19988.4825
2022-09-01,20070.262499999997
2022-09-02,19872.8825
2022-09-03,19861.27
2022-09-04,19872.06
2022-09-05,19353.864999999998
2022-09-06,19014.57
2022-09-07,19270.7175
2022-09-08,20392.405
2022-09-09,21482.9725
2022-09-10,21671.02
2022-09-11,22062.28
2022-09-12,21307.002500000002
2022-09-13,20139.8575
2022-09-14,19939.072500000002
2022-09-15,19678.7975
2022-09-16,19963.5
2022-09-17,19745.417499999996
2022-09-18,19218.307500000003
2022-09-19,19189.6275
2022-09-20,18854.4125
2022-09-21,18942.3875
2022-09-22,19180.74
2022-09-23,19082.6375
2022-09-24,18884.695
2022-09-25,19009.1575
2022-09-26,19376.9975
2022-09-27,19188.05
2022-09-28,19373.214999999997
2022-09-29,19588.377500000002
2022-09-30,19344.245
2022-10-01,19171.325
2022-10-02,19341.4
2022-10-03,19983.125
2022-10-04,20147.92
2022-10-05,20107.1325
2022-10-06,19719.895
2022-10-07,19453.1425
2022-10-08,19432.395
2022-10-09,19279.27
2022-10-10,19079.989999999998
2022-10-11,19104.93
2022-10-12,19058.505
2022-10-13,19393.6875
2022-10-14,19112.295
2022-10-15,19205.24
2022-10-16,19410.4575
2022-10-17,19418.395
2022-10-18,19219.385000000002
2022-10-19,19103.2725
2022-10-20,19026.5725
2022-10-21,19184.61
2022-10-22,19384.95
2022-10-23,19414.5675
2022-10-24,19765.885000000002
2022-10-25,20480.255
2022-10-26,20534.7325
2022-10-27,20409.26
2022-10-28,20760.129999999997
2022-10-29,20720.8425
2022-10-30,20550.5225
2022-10-31,20501.275
2022-11-01,20370.6725
2022-11-02,20196.055
2022-11-03,20709.6625
2022-11-04,21252.2975
2022-11-05,21114.0875
2022-11-06,20737.842500000002
2022-11-07,19251.4025
2022-11-08,17160.9875
2022-11-09,16869.2725
2022-11-10,17182.34
2022-11-11,16908.1375
2022-11-12,16581.572500000002
2022-11-13,16489.1125
2022-11-14,16795.175000000003
2022-11-15,16739.465
2022-11-16,16628.9775
2022-11-17,16737.5125
2022-11-18,16694.012499999997
2022-11-19,16478.56
2022-11-20,15963.9475
2022-11-21,15984.965
2022-11-22,16424.3175
2022-11-23,16618.185
2022-11-24,16532.625
2022-11-25,16516.7275
2022-11-26,16471.8475
2022-11-27,16280.997500000001
2022-11-28,16325.855
2022-11-29,16820.9625
2022-11-30,17080.477499999997
2022-12-01,16991.079999999998
2022-12-02,17006.2625
2022-12-03,17017.9975
2022-12-04,17091.0625
2022-12-05,17017.1725
2022-12-06,16936.66
2022-12-07,17023.307500000003
2022-12-08,17192.7175
2022-12-09,17143.9425
2022-12-10,17138.6325
2022-12-11,17102.155
2022-12-12,17515.9425
2022-12-13,17906.965000000004
2022-12-14,17572.67
2022-12-15,17012.0325
2022-12-16,16696.1725
2022-12-17,16760.52
2022-12-18,16562.542500000003
2022-12-19,16698.2275
2022-12-20,16842.205
2022-12-21,16768.62
2022-12-22,16821.6675
2022-12-23,16815.3125
2022-12-24,16811.7
2022-12-25,16871.755
2022-12-26,16797.7375
2022-12-27,16625.9725
2022-12-28,16583.5275
2022-12-29,16562.825
